timestamp,ip_address,username,event_type
2024-03-15 02:14:01,203.0.113.47,admin,LOGIN_FAILED
2024-03-15 02:14:12,203.0.113.47,admin,LOGIN_FAILED
2024-03-15 02:14:24,203.0.113.47,admin,LOGIN_FAILED
2024-03-15 02:14:35,203.0.113.47,admin,LOGIN_FAILED
2024-03-15 02:14:47,203.0.113.47,admin,LOGIN_FAILED
2024-03-15 02:14:58,203.0.113.47,admin,LOGIN_FAILED
2024-03-15 02:15:10,203.0.113.47,admin,LOGIN_FAILED
2024-03-15 02:15:22,203.0.113.47,admin,LOGIN_SUCCESS
2024-03-15 08:01:22,192.168.1.10,j.smith,LOGIN_SUCCESS
2024-03-15 08:45:11,192.168.1.11,k.jones,LOGIN_SUCCESS
2024-03-15 09:12:03,192.168.1.12,m.taylor,LOGIN_SUCCESS
2024-03-15 09:30:44,192.168.1.10,j.smith,LOGIN_SUCCESS
2024-03-15 11:02:17,192.168.1.13,r.patel,LOGIN_FAILED
2024-03-15 11:02:45,192.168.1.13,r.patel,LOGIN_SUCCESS
2024-03-15 14:22:09,192.168.1.11,k.jones,LOGIN_SUCCESS
2024-03-15 03:17:44,192.168.1.14,s.wong,LOGIN_SUCCESS
